X,T,LHS,RHS
"13","20","3.3069813e-7","3.1219333e-8"
"14","20","3.121933e-8","2.4100457e-9"
"15","20","2.4100455e-9","1.4963987e-10"
"16","20","1.4963981e-10","7.291671e-12"
"17","20","7.291669e-12","2.6856216e-13"
"18","20","2.6856208e-13","7.14622e-15"
"0","21","0.0","0.14423361"
"1","21","0.1442337","0.21547082"
"2","21","0.21547079","0.19971083"
"3","21","0.19971073","0.13690352"
"4","21","0.13690352","7.366287e-2"
"5","21","7.3662885e-2","3.204307e-2"
"6","21","3.2043066e-2","1.1468952e-2"
"7","21","1.1468953e-2","3.416395e-3"
"8","21","3.416395e-3","8.5330236e-4"
"9","21","8.533022e-4","1.795136e-4"
"10","21","1.7951359e-4","3.1876083e-5"
"11","21","3.1876076e-5","4.7768685e-6"
"12","21","4.7768685e-6","6.026722e-7"
"13","21","6.026721e-7","6.3699666e-8"
"14","21","6.369967e-8","5.5959113e-9"
"15","21","5.5959104e-9","4.0380674e-10"
"16","21","4.0380663e-10","2.3530676e-11"
"17","21","2.3530674e-11","1.079965e-12"
"18","21","1.079965e-12","3.851613e-14"
"0","22","0.0","0.13547401"
"1","22","0.1354742","0.20503119"
"2","22","0.20503104","0.19406515"
"3","22","0.19406527","0.1368515"
"4","22","0.13685152","7.625735e-2"
"5","22","7.625736e-2","3.4568556e-2"
"6","22","3.4568552e-2","1.2971541e-2"
"7","22","1.297154e-2","4.075131e-3"
"8","22","4.075131e-3","1.0800188e-3"
"9","22","1.0800187e-3","2.4265175e-4"
"10","22","2.4265169e-4","4.634068e-5"
"11","22","4.6340672e-5","7.5278704e-6"
"12","22","7.5278695e-6","1.038899e-6"
"13","22","1.038899e-6","1.2140391e-7"
"14","22","1.214039e-7","1.19453105e-8"
"15","22","1.1945309e-8","9.812261e-10"
"16","22","9.812259e-10","6.646971e-11"
"17","22","6.64697e-11","3.6490763e-12"
"18","22","3.649076e-12","1.6348999e-13"
"0","23","0.0","0.12756392"
"1","23","0.12756348","0.19536848"
"2","23","0.19536853","0.1885154"
"3","23","0.18851548","0.13644587"
"4","23","0.13644591","7.8526e-2"
"5","23","7.852599e-2","3.697958e-2"
"6","23","3.697956e-2","1.449561e-2"
"7","23","1.4495612e-2","4.7832867e-3"
"8","23","4.7832853e-3","1.3389484e-3"
"9","23","1.3389485e-3","3.1957842e-4"
"10","23","3.195784e-4","6.524046e-5"
"11","23","6.524046e-5","1.1406731e-5"
"12","23","1.1406728e-5","1.7074759e-6"
"13","23","1.7074759e-6","2.1836829e-7"
"14","23","2.1836826e-7","2.3764652e-8"
"15","23","2.3764647e-8","2.1871454e-9"
"16","23","2.1871451e-9","1.6870198e-10"
"17","23","1.68702e-10","1.076928e-11"
"18","23","1.076928e-11","5.817603e-13"
"0","24","0.0","0.12039293"
"1","24","0.12039304","0.18640946"
"2","24","0.18640935","0.18308942"
"3","24","0.18308938","0.13574383"
"4","24","0.13574377","8.049083e-2"
"5","24","8.049078e-2","3.9267067e-2"
"6","24","3.9267056e-2","1.6028205e-2"
"7","24","1.6028201e-2","5.535446e-3"
"8","24","5.535446e-3","1.6299443e-3"
"9","24","1.6299443e-3","4.1138232e-4"
"10","24","4.1138235e-4","8.9300964e-5"
"11","24","8.930096e-5","1.6702868e-5"
"12","24","1.6702868e-5","2.6926934e-6"
"13","24","2.6926932e-6","3.7370876e-7"
"14","24","3.7370873e-7","4.4527784e-8"
"15","24","4.452778e-8","4.5342325e-9"
"16","24","4.5342317e-9","3.9196324e-10"
"17","24","3.9196318e-10","2.8498702e-11"
"18","24","2.84987e-11","1.8042628e-12"
"0","25","0.0","0.113867685"
"1","25","0.11386752","0.17808913"
"2","25","0.17808914","0.17780635"
"3","25","0.17780632","0.13479494"
"4","25","0.13479486","8.217434e-2"
"5","25","8.2174316e-2","4.1425258e-2"
"6","25","4.1425265e-2","1.7557736e-2"
"7","25","1.755774e-2","6.3259164e-3"
"8","25","6.3259155e-3","1.9523773e-3"
"9","25","1.9523769e-3","5.1896e-4"
"10","25","5.1896e-4","1.1923897e-4"
"11","25","1.1923894e-4","2.3733417e-5"
"12","25","2.3733419e-5","4.095636e-6"
"13","25","4.095636e-6","6.1248517e-7"
"14","25","6.124851e-7","7.9230276e-8"
"15","25","7.9230254e-8","8.836387e-9"
"16","25","8.836386e-9","8.454197e-10"
"17","25","8.454196e-10","6.891111e-11"
"18","25","6.89111e-11","5.007595e-12"
"0","26","0.0","0.10791023"
"1","26","0.10791063","0.17034857"
"2","26","0.17034888","0.1726789"
"3","26","0.17267883","0.13364187"
"4","26","0.13364181","8.3598904e-2"
"5","26","8.359894e-2","4.3451034e-2"
"6","26","4.345104e-2","1.907402e-2"
"7","26","1.9074017e-2","7.1489112e-3"
"8","26","7.148909e-3","2.3051917e-3"
"9","26","2.3051915e-3","6.430034e-4"
"10","26","6.4300344e-4","1.5574484e-4"
"11","26","1.5574481e-4","3.2837546e-5"
"12","26","3.2837543e-5","6.0341913e-6"
"13","26","6.0341913e-6","9.664726e-7"
"14","26","9.664725e-7","1.347736e-7"
"15","26","1.3477357e-7","1.6324735e-8"
"16","26","1.6324735e-8","1.7111547e-9"
"17","26","1.7111546e-9","1.5442372e-10"
"18","26","1.544237e-10","1.26760165e-11"
"0","27","0.0","0.10245352"
"1","27","0.10245323","0.1631356"
"2","27","0.16313553","0.16771485"
"3","27","0.16771495","0.13232116"
"4","27","0.13232127","8.47863e-2"
"5","27","8.4786266e-2","4.534354e-2"
"6","27","4.5343526e-2","2.056825e-2"
"7","27","2.0568259e-2","7.998678e-3"
"8","27","7.998678e-3","2.6869753e-3"
"9","27","2.686975e-3","7.83995e-4"
"10","27","7.839949e-4","1.9946699e-4"
"11","27","1.9946699e-4","4.4370016e-5"
"12","27","4.4370016e-5","8.642468e-6"
"13","27","8.642468e-6","1.4747952e-6"
"14","27","1.4747951e-6","2.2036362e-7"
"15","27","2.203636e-7","2.8784964e-8"
"16","27","2.878496e-8","3.2779766e-9"
"17","27","3.2779761e-9","3.242217e-10"
"18","27","3.2422165e-10","2.9685737e-11"
"0","28","0.0","9.744101e-2"
"1","28","9.744048e-2","0.15640326"
"2","28","0.15640318","0.16291809"
"3","28","0.16291797","0.13086419"
"4","28","0.13086408","8.5757375e-2"
"5","28","8.5757375e-2","4.7103643e-2"
"6","28","4.710365e-2","2.2032933e-2"
"7","28","2.2032931e-2","8.869623e-3"
"8","28","8.869623e-3","3.096022e-3"
"9","28","3.0960212e-3","9.4220944e-4"
"10","28","9.4220915e-4","2.5099868e-4"
"11","28","2.509987e-4","5.869434e-5"
"12","28","5.869435e-5","1.2069653e-5"
"13","28","1.2069651e-5","2.1843841e-6"
"14","28","2.184384e-6","3.4790597e-7"
"15","28","3.4790588e-7","4.8713563e-8"
"16","28","4.8713556e-8","5.9843637e-9"
"17","28","5.984363e-9","6.433279e-10"
"18","28","6.4332795e-10","6.5030044e-11"
"0","29","0.0","9.282366e-2"
"1","29","9.2823505e-2","0.15010948"
"2","29","0.15010953","0.15828983"
"3","29","0.15828967","0.12929787"
"4","29","0.12929797","8.653173e-2"
"5","29","8.653179e-2","4.87336e-2"
"6","29","4.8733614e-2","2.3461822e-2"
"7","29","2.3461822e-2","9.756388e-3"
"8","29","9.756386e-3","3.5303968e-3"
"9","29","3.530397e-3","1.1177214e-3"
"10","29","1.1177215e-3","3.1086747e-4"
"11","29","3.1086747e-4","7.617591e-5"
"12","29","7.617589e-5","1.6478385e-5"
"13","29","1.6478381e-5","3.1502389e-6"
"14","29","3.1502384e-6","5.3238017e-7"
"15","29","5.323802e-7","7.948915e-8"
"16","29","7.948914e-8","1.0470943e-8"
"17","29","1.04709414e-8","1.2148563e-9"
"18","29","1.2148562e-9","1.3442579e-10"
"0","30","0.0","8.8559136e-2"
"1","30","8.855939e-2","0.1442168"
"2","30","0.14421701","0.15382922"
"3","30","0.15382946","0.12764493"
"4","30","0.12764484","8.712789e-2"
"5","30","8.7127835e-2","5.0236765e-2"
"6","30","5.023677e-2","2.4849787e-2"
"7","30","2.4849791e-2","1.0653921e-2"
"8","30","1.0653916e-2","3.987994e-3"
"9","30","3.987993e-3","1.31042e-3"
"10","30","1.3104198e-3","3.795269e-4"
"11","30","3.795269e-4","9.7175194e-5"
"12","30","9.717518e-5","2.2042706e-5"
"13","30","2.2042705e-5","4.4354733e-6"
"14","30","4.4354724e-6","7.921763e-7"
"15","30","7.9217625e-7","1.255539e-7"
"16","30","1.2555385e-7","1.7642394e-8"
"17","30","1.7642398e-8","2.195935e-9"
"18","30","2.1959348e-9","2.6407745e-10"
"0","31","0.0","8.461098e-2"
"1","31","8.461118e-2","0.13869137"
"2","31","0.13869107","0.14953357"
"3","31","0.14953375","0.12592503"
"4","31","0.12592494","8.756299e-2"
"5","31","8.756295e-2","5.161726e-2"
"6","31","5.1617287e-2","2.6192717e-2"
"7","31","2.6192721e-2","1.1557515e-2"
"8","31","1.1557518e-2","4.4665956e-3"
"9","31","4.466595e-3","1.5200216e-3"
"10","31","1.5200215e-3","4.5735182e-4"
"11","31","4.5735185e-4","1.2204151e-4"
"12","31","1.2204149e-4","2.8945735e-5"
"13","31","2.8945733e-5","6.111146e-6"
"14","31","6.111145e-6","1.1493772e-6"
"15","31","1.149377e-6","1.925992e-7"
"16","31","1.9259922e-7","2.8738198e-8"
"17","31","2.8738194e-8","3.817688e-9"
"18","31","3.8176875e-9","4.959003e-10"
"0","32","0.0","8.0947205e-2"
"1","32","8.0946684e-2","0.13350289"
"2","32","0.13350308","0.14539942"
"3","32","0.14539957","0.12415463"
"4","32","0.12415469","8.785297e-2"
"5","32","8.7852925e-2","5.2879784e-2"
"6","32","5.287975e-2","2.7487444e-2"
"7","32","2.7487446e-2","1.2462829e-2"
"8","32","1.2462828e-2","4.9639177e-3"
"9","32","4.963919e-3","1.7460902e-3"
"10","32","1.7460901e-3","5.4463506e-4"
"11","32","5.4463494e-4","1.5110725e-4"
"12","32","1.5110723e-4","3.7377078e-5"
"13","32","3.7377074e-5","8.255883e-6"
"14","32","8.255884e-6","1.6299758e-6"
"15","32","1.6299756e-6","2.8774923e-7"
"16","32","2.877492e-7","4.5411053e-8"
"17","32","4.5411053e-8","6.409534e-9"
"18","32","6.4095333e-9","8.9451474e-10"
"0","33","0.0","7.754036e-2"
"1","33","7.7540874e-2","0.12862375"
"2","33","0.12862384","0.14142242"
"3","33","0.14142215","0.122347824"
"4","33","0.12234777","8.801239e-2"
"5","33","8.801237e-2","5.402949e-2"
"6","33","5.402945e-2","2.8731566e-2"
"7","33","2.8731562e-2","1.3365914e-2"
"8","33","1.3365913e-2","5.477648e-3"
"9","33","5.477648e-3","1.9880552e-3"
"10","33","1.9880547e-3","6.4158626e-4"
"11","33","6.415864e-4","1.8468297e-4"
"12","33","1.8468294e-4","4.7530146e-5"
"13","33","4.753014e-5","1.0955318e-5"
"14","33","1.0955318e-5","2.2640174e-6"
"15","33","2.2640177e-6","4.197358e-7"
"16","33","4.1973584e-7","6.9811456e-8"
"17","33","6.981144e-8","1.04279145e-8"
"18","33","1.0427914e-8","1.5563171e-9"
"0","34","0.0","7.436542e-2"
"1","34","7.436514e-2","0.12402958"
"2","34","0.12402952","0.1375977"
"3","34","0.13759792","0.120516494"
"4","34","0.12051642","8.80547e-2"
"5","34","8.805469e-2","5.50717e-2"
"6","34","5.507171e-2","2.9923437e-2"
"7","34","2.9923432e-2","1.4263198e-2"
"8","34","1.4263196e-2","6.0054883e-3"
"9","34","6.0054893e-3","2.24523e-3"
"10","34","2.2452301e-3","7.483341e-4"
"11","34","7.48334e-4","2.2305304e-4"
"12","34","2.2305307e-4","5.9599508e-5"
"13","34","5.9599515e-5","1.430134e-5"
"14","34","1.430134e-5","3.0856602e-6"
"15","34","3.0856602e-6","5.9905864e-7"
"16","34","5.990587e-7","1.0467636e-7"
"17","34","1.0467635e-7","1.6489347e-8"
"18","34","1.6489345e-8","2.6209086e-9"
"0","35","0.0","7.140135e-2"
"1","35","7.1401596e-2","0.11969805"
"2","35","0.11969805","0.1339197"
"3","35","0.13391972","0.11867088"
"4","35","0.11867076","8.799214e-2"
"5","35","8.79921e-2","5.601186e-2"
"6","35","5.6011826e-2","3.1061998e-2"
"7","35","3.1061992e-2","1.5151505e-2"
"8","35","1.5151501e-2","6.5451814e-3"
"9","35","6.5451814e-3","2.5168336e-3"
"10","35","2.516833e-3","8.6492783e-4"
"11","35","8.64928e-4","2.664723e-4"
"12","35","2.6647234e-4","7.377815e-5"
"13","35","7.377814e-5","1.8391238e-5"
"14","35","1.8391238e-5","4.133149e-6"
"15","35","4.1331486e-6","8.3812495e-7"
"16","35","8.381248e-7","1.5341979e-7"
"17","35","1.5341978e-7","2.5407573e-8"
"18","35","2.5407573e-8","4.2851207e-9"
"0","36","0.0","6.862873e-2"
"1","36","6.862879e-2","0.11560907"
"2","36","0.11560857","0.13038325"
"3","36","0.13038337","0.116819285"
"4","36","0.11681914","8.783596e-2"
"5","36","8.783594e-2","5.6855507e-2"
"6","36","5.685553e-2","3.214672e-2"
"7","36","3.2146722e-2","1.6028004e-2"
"8","36","1.6028006e-2","7.0945374e-3"
"9","36","7.0945406e-3","2.8020067e-3"
"10","36","2.8020062e-3","9.913418e-4"
"11","36","9.913417e-4","3.151637e-4"
"12","36","3.1516363e-4","9.0255046e-5"
"13","36","9.025502e-5","2.3326693e-5"
